activity_daily_movement,activity_high,activity_inactive,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_steps,activity_total
3353,0,714,87,78,100,4212,207
2516,0,719,83,60,100,3306,140
1716,0,708,73,43,95,2550,131
2791,0,705,70,43,100,4009,208
5393,0,437,70,43,100,8081,517
6860,0,377,67,43,100,9204,561
2433,0,679,61,43,100,3730,203
2365,1,644,61,43,95,3281,197
7288,0,467,71,60,100,8050,399
6368,1,438,81,78,100,8466,521
2950,0,401,82,78,100,4397,267
2138,0,635,72,60,100,3287,209
934,0,647,67,43,100,1582,101
776,0,634,65,43,100,1373,89
1947,0,678,63,43,100,2753,185
2767,0,699,53,25,100,4490,272
5611,2,685,49,1,100,6427,309
3362,0,727,49,1,100,4427,226
7154,0,533,63,25,100,8368,300
5810,0,503,71,43,78,8133,471
6410,1,627,76,60,100,8594,517
6306,0,411,86,78,100,8570,413
7621,0,502,92,95,100,8970,482
5880,0,512,93,100,100,7623,435
2216,0,483,93,100,100,3308,202
3408,0,652,82,95,95,4337,218
2391,0,605,72,60,100,3821,239
1770,0,717,60,43,100,2763,160
5160,0,580,56,25,78,6712,307
3894,0,659,52,1,95,5370,265
2862,0,663,52,1,100,3874,197
3058,0,668,52,1,95,3484,209
3908,2,659,53,1,100,4863,276
2815,0,738,50,1,100,4094,247
2326,0,535,53,1,100,5189,442
4769,0,487,53,1,100,6218,330
5291,0,572,59,25,100,6015,320
9894,0,464,63,25,100,11548,556
10402,1,380,72,43,100,13134,665
6059,0,536,75,60,95,8857,543
3254,0,594,70,60,100,5896,410
6521,0,463,84,78,100,7626,418
2724,0,637,80,78,95,4356,268
3635,0,577,79,78,95,5640,343
5457,0,608,75,78,100,8266,467
3046,0,724,63,60,100,4279,270
4142,0,639,62,43,100,5481,270
1867,0,643,62,43,100,2778,156
4207,0,585,59,25,95,4240,214
2011,0,675,58,25,100,3130,202
1794,1,755,56,25,95,2707,170
2046,0,677,50,1,100,2875,159
1982,0,749,48,1,100,2804,163
1348,0,625,49,1,95,2441,130
2208,0,805,45,1,95,2815,159
2655,0,569,50,1,100,3949,244
2168,0,764,47,1,100,3310,206
2159,0,734,46,1,95,2723,161
2555,0,620,50,1,100,2749,157
2926,0,687,49,1,100,3744,182
3721,1,570,52,1,100,4742,258
1856,0,759,48,1,95,2557,150
3985,1,682,50,1,95,4663,225
2716,1,176,51,1,100,3272,171
13424,3,533,95,95,95,14536,392
9470,0,463,97,95,100,11024,463
14531,1,497,95,95,100,15306,488
6119,0,486,80,60,95,7260,352
7364,0,451,77,60,100,8425,383
5853,0,507,72,43,100,7007,337
10292,1,486,88,78,100,9239,313
5605,0,546,80,60,100,6946,332
10908,4,538,92,95,100,10634,372
12059,2,416,98,100,100,11783,434
7853,0,582,94,100,95,8166,381
7116,1,656,90,100,60,8169,345
8791,1,680,93,100,100,9968,384
12590,2,504,96,100,100,13902,456
11308,9,527,96,100,100,12416,355
12494,2,500,93,100,100,12879,411
7689,0,527,89,100,100,8366,326
10820,7,640,94,100,100,10747,343
8909,0,553,96,100,100,9748,356
11204,3,479,97,100,100,11475,397
8667,0,691,90,100,78,9229,344
9506,5,597,94,100,95,9973,357
6325,1,583,95,100,100,7457,279
11326,2,630,95,100,100,11897,351
8128,2,695,93,100,95,8896,292
6254,0,553,94,95,95,7280,302
9000,4,609,95,100,95,9695,341
6505,1,649,93,95,100,7239,266
7041,3,623,89,78,100,8020,275
4545,2,619,83,60,95,5039,225
9229,3,607,80,60,95,10104,355
10000,1,480,87,78,95,10944,387
9343,1,523,86,78,95,10140,355
18549,23,353,83,60,100,17371,539
9448,1,522,85,78,78,10086,380
5021,0,588,88,78,95,5987,251
6603,1,670,85,78,100,7981,325
7217,0,553,82,60,100,8433,338
8438,0,617,78,60,78,9452,314
5873,0,488,73,43,100,7177,297
5718,1,557,72,43,100,6804,262
11212,3,530,75,43,95,12882,327
5434,0,506,76,43,100,5961,226
7960,0,544,74,43,95,8854,332
5725,0,595,69,25,95,6718,245
8193,0,501,76,43,100,9835,302
9795,0,406,81,43,100,11378,324
6616,0,496,81,43,100,7362,291
13599,2,501,82,43,100,14096,435
11131,2,547,86,60,100,12090,394
12088,4,533,91,78,100,12720,411
13279,1,503,92,95,100,13579,377
4941,0,658,86,95,95,5363,185
9399,1,602,94,95,100,10187,346
9708,3,641,93,100,100,10874,351
5547,0,616,92,95,100,6752,261
385,0,19,88,78,100,473,14
6296,0,744,85,78,95,7559,260
1318,0,859,64,60,60,1906,122
5379,0,465,73,60,100,6375,171
4264,0,755,68,60,100,5434,223
3145,0,648,65,43,100,3541,112
6400,0,584,71,60,100,7748,267
2118,0,753,66,60,95,3057,186
5523,0,605,68,60,95,7327,218
673,0,703,61,43,95,1219,78
5701,0,556,66,43,100,7355,178
4884,0,774,68,43,100,5841,220
2933,0,652,63,25,95,3872,166
4787,0,714,55,1,95,5949,132
5520,0,783,65,25,95,7164,196
5689,0,607,64,25,100,7223,187
2824,0,69,72,25,100,3064,83
3962,0,668,65,25,100,5419,226
2768,0,748,62,25,95,4002,202
4563,0,350,63,25,95,5677,141
5090,1,679,52,1,95,6855,200
1185,0,586,62,43,95,2355,171
6126,0,601,62,43,100,6851,224
4832,0,713,65,60,95,6332,153
4062,0,609,69,78,95,4538,121
4099,0,784,80,100,95,5488,171
6199,0,670,64,43,100,7803,208
3100,0,587,61,25,100,4504,121
3679,0,540,71,43,100,5175,171
4225,0,701,64,25,100,5590,152
1579,0,741,67,25,95,2198,114
4631,0,669,67,25,78,6579,161
5738,0,613,73,43,100,7659,166
743,0,649,73,43,100,1633,104
5307,0,750,66,25,100,7022,139
4378,0,668,63,25,78,5785,155
4151,0,654,67,25,78,4694,132
5221,0,575,69,25,100,6593,167
1794,0,664,64,25,100,2427,124
1362,0,727,62,25,100,2022,104
5464,0,751,59,25,100,6991,162
418,0,758,59,25,95,951,58
4939,0,598,75,43,100,6183,209
14342,11,451,97,95,100,14752,389
5442,2,462,93,78,100,6258,296
9037,3,417,93,78,100,9557,333
3563,0,467,92,78,100,4624,239
7758,4,481,87,60,100,7933,295
4868,1,647,76,43,100,5393,224
8753,4,468,82,43,100,8907,290
5195,5,570,81,43,100,5927,238
4194,6,525,82,43,100,5030,240
7354,5,516,77,25,100,7927,289
7289,5,492,78,25,95,7409,249
6266,4,400,80,25,100,6588,238
7561,2,417,80,25,100,8032,274
8341,11,550,71,1,100,8550,285
10089,4,457,84,43,100,10364,311
3278,0,556,81,43,95,3710,170
6697,2,469,83,43,100,8429,246
2923,4,523,82,43,95,3763,179
4281,5,535,82,43,100,4766,192
7950,3,381,83,43,100,7942,269
3793,3,442,79,25,100,4425,201
11092,6,385,80,25,100,10959,289
2900,2,473,78,25,100,3367,157
8721,5,486,78,25,100,9155,303
